Developer,City,Autonomous area,Country,Notable games,Notes
11 bit studios,Warsaw,,Poland,AnomalyThis War of MineFrostpunk,
ACE Team,Santiago,Santiago,Chile,Zeno ClashRock of Ages,
Akupara Games,Los Angeles,California,United States,Whispering Willows The Metronomicon: Slay the Dance Floor,
Alec Holowka,Winnipeg,Manitoba,Canada,Crayon Physics DeluxeI'm O.K – A Murder SimulatorAquariaNight in the Woods,
Alientrap,Saskatoon,Saskatchewan,Canada,CapsizedApotheon,
Amanita Design[1],Brno,,Czech Republic,Samorost seriesMachinariumBotanicula,
Ambrosia Software,Rochester,New York,United States,Escape Velocity series,
Amplitude Studios,Paris,Île-de-France,France,Endless SpaceEndless LegendDungeon of the Endless,
AmnesiaGames,Santiago de Chile,,Chile,,
Ankama Games,Roubaix,,France,Dofus,Denton Designs
Anna Anthropy,Oakland,California,United States,Dys4ia Mighty Jill Off,
Arcane Kids,Los Angeles,California,United States,Bubsy 3D: Bubsy Visits the James Turrell Retrospective Sonic Dreams Collection,
Arcen Games,Durham,North Carolina,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,
Arrowhead Game Studios,Stockholm,,Sweden,Magicka Helldivers,
Artix Entertainment,Land o' Lakes,Florida,United States,AdventureQuestDragonFableMechQuestAdventureQuest WorldsWarpForceEpicDuelHeroSmash,
Aventurine SA,Athens,,Greece,Darkfall Online,
Babaroga,Chicago,Illinois,United States,Spore OriginsZombies!!!,
Basilisk Games,Indianapolis,Indiana,United States,Eschalon series,
The Behemoth[1],San Diego,California,United States,Alien HominidCastle CrashersBattleBlock TheaterPit People,
Benjamin Rivers,Toronto,Ontario,Canada,,
Big Finish Games,Salt Lake City,Utah,United States,Three Cards to Midnight,
Blitz Games Studios,Warwickshire,,United Kingdom (England),Powerup ForeverDroplitzInvincible Tiger: The Legend of Han Tao,
Blue Fang Games,Waltham,Massachusetts,United States,Zoo Tycoon series,
Bohemia Interactive Studio,Prague,,Czech Republic,Operation Flashpoint: Cold War CrisisArmA: Armed AssaultTake On MarsDayZ,
Boomzap Entertainment,Singapore,,Singapore,,
Bubble Gum Interactive,Sydney,,Australia,Little Space Heroes,
Capybara Games[1][2],Toronto,Ontario,Canada,Superbrothers: Sword & Sworcery EPCritter CrunchMight & Magic: Clash of HeroesSuper Time Force,
CBE Software,Brno,,Czech Republic,J.U.L.I.A.J.U.L.I.A. Among the Stars,
CCP Games,Reykjavík,,Iceland,Eve Online,
The Chinese Room[2],Brighton,,United Kingdom (England),Dear EstherAmnesia: A Machine for Pigs,
Choice Provisions,Santa Cruz,California,United States,Bit.Trip series,Formerly Gaijin Games
Christine Love,Toronto,Ontario,Canada,"Digital: A Love Storydon't take it personally, babe, it just ain't your storyAnalogue: A Hate Story",
Christopher Howard Wolf,Rocky Point,North Carolina,United States,DragonSpiresI'm O.K – A Murder Simulator'',
